A	B	TargetPathway	type	val	Method
GSE20164	GSE7621	Parkinson disease	Szymkiewicz–Simpson coefficient	0.16	anubix-funcoup
GSE20164	GSE90514	Parkinson disease	Jaccard index	0.1651376146788991	anubix-funcoup
GSE20164	GSE90514	Parkinson disease	Szymkiewicz–Simpson coefficient	0.7058823529411765	anubix-funcoup
GSE20291	GSE20292	Parkinson disease	Jaccard index	0.4491525423728814	anubix-funcoup
GSE20291	GSE20292	Parkinson disease	Szymkiewicz–Simpson coefficient	0.7910447761194029	anubix-funcoup
GSE20291	GSE20314	Parkinson disease	Jaccard index	0	anubix-funcoup
GSE20291	GSE20314	Parkinson disease	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE20291	GSE20333	Parkinson disease	Jaccard index	0.015384615384615385	anubix-funcoup
GSE20291	GSE20333	Parkinson disease	Szymkiewicz–Simpson coefficient	0.03076923076923077	anubix-funcoup
GSE20291	GSE7621	Parkinson disease	Jaccard index	0	anubix-funcoup
GSE20291	GSE7621	Parkinson disease	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE20291	GSE90514	Parkinson disease	Jaccard index	0.1568627450980392	anubix-funcoup
GSE20291	GSE90514	Parkinson disease	Szymkiewicz–Simpson coefficient	0.3137254901960784	anubix-funcoup
GSE20292	GSE20314	Parkinson disease	Jaccard index	0	anubix-funcoup
GSE20292	GSE20314	Parkinson disease	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE20292	GSE20333	Parkinson disease	Jaccard index	0.005952380952380952	anubix-funcoup
GSE20292	GSE20333	Parkinson disease	Szymkiewicz–Simpson coefficient	0.015384615384615385	anubix-funcoup
GSE20292	GSE7621	Parkinson disease	Jaccard index	0	anubix-funcoup
GSE20292	GSE7621	Parkinson disease	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE20292	GSE90514	Parkinson disease	Jaccard index	0.23015873015873015	anubix-funcoup
GSE20292	GSE90514	Parkinson disease	Szymkiewicz–Simpson coefficient	0.5686274509803921	anubix-funcoup
GSE20314	GSE20333	Parkinson disease	Jaccard index	0	anubix-funcoup
GSE20314	GSE20333	Parkinson disease	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE20314	GSE7621	Parkinson disease	Jaccard index	0.03225806451612903	anubix-funcoup
GSE20314	GSE7621	Parkinson disease	Szymkiewicz–Simpson coefficient	0.14285714285714285	anubix-funcoup
GSE20314	GSE90514	Parkinson disease	Jaccard index	0	anubix-funcoup
GSE20314	GSE90514	Parkinson disease	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE20333	GSE7621	Parkinson disease	Jaccard index	0.21621621621621623	anubix-funcoup
GSE20333	GSE7621	Parkinson disease	Szymkiewicz–Simpson coefficient	0.64	anubix-funcoup
GSE20333	GSE90514	Parkinson disease	Jaccard index	0.04504504504504504	anubix-funcoup
GSE20333	GSE90514	Parkinson disease	Szymkiewicz–Simpson coefficient	0.09803921568627451	anubix-funcoup
GSE7621	GSE90514	Parkinson disease	Jaccard index	0	anubix-funcoup
GSE7621	GSE90514	Parkinson disease	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE12685	GSE28146	Alzheimer disease	Jaccard index	0.31862745098039214	anubix-funcoup
GSE12685	GSE28146	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.5462184873949579	anubix-funcoup
GSE12685	GSE36980	Alzheimer disease	Jaccard index	0.02040816326530612	anubix-funcoup
GSE12685	GSE36980	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.0967741935483871	anubix-funcoup
GSE12685	GSE37263	Alzheimer disease	Jaccard index	0.18012422360248448	anubix-funcoup
GSE12685	GSE37263	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.4084507042253521	anubix-funcoup
GSE12685	GSE39420	Alzheimer disease	Jaccard index	0.5372340425531915	anubix-funcoup
GSE12685	GSE39420	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.8487394957983193	anubix-funcoup
GSE12685	GSE4757	Alzheimer disease	Jaccard index	0.04697986577181208	anubix-funcoup
GSE12685	GSE4757	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.1891891891891892	anubix-funcoup
GSE12685	GSE95587	Alzheimer disease	Jaccard index	0.17307692307692307	anubix-funcoup
GSE12685	GSE95587	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.3025210084033613	anubix-funcoup
GSE12685	GSE97760	Alzheimer disease	Jaccard index	0.0070921985815602835	anubix-funcoup
GSE12685	GSE97760	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.043478260869565216	anubix-funcoup
GSE28146	GSE36980	Alzheimer disease	Jaccard index	0.14556962025316456	anubix-funcoup
GSE28146	GSE36980	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.7419354838709677	anubix-funcoup
GSE28146	GSE37263	Alzheimer disease	Jaccard index	0.20108695652173914	anubix-funcoup
GSE28146	GSE37263	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.5211267605633803	anubix-funcoup
GSE28146	GSE39420	Alzheimer disease	Jaccard index	0.4611872146118721	anubix-funcoup
GSE28146	GSE39420	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.6733333333333333	anubix-funcoup
GSE28146	GSE4757	Alzheimer disease	Jaccard index	0.0625	anubix-funcoup
GSE28146	GSE4757	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.2972972972972973	anubix-funcoup
GSE28146	GSE95587	Alzheimer disease	Jaccard index	0.4322916666666667	anubix-funcoup
GSE28146	GSE95587	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.664	anubix-funcoup
GSE28146	GSE97760	Alzheimer disease	Jaccard index	0.01764705882352941	anubix-funcoup
GSE28146	GSE97760	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.13043478260869565	anubix-funcoup
GSE36980	GSE37263	Alzheimer disease	Jaccard index	0.18604651162790697	anubix-funcoup
GSE36980	GSE37263	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.5161290322580645	anubix-funcoup
GSE36980	GSE39420	Alzheimer disease	Jaccard index	0.11049723756906077	anubix-funcoup
GSE36980	GSE39420	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.6451612903225806	anubix-funcoup
GSE36980	GSE4757	Alzheimer disease	Jaccard index	0.23636363636363636	anubix-funcoup
GSE36980	GSE4757	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.41935483870967744	anubix-funcoup
GSE36980	GSE95587	Alzheimer disease	Jaccard index	0.15555555555555556	anubix-funcoup
GSE36980	GSE95587	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.6774193548387096	anubix-funcoup
GSE36980	GSE97760	Alzheimer disease	Jaccard index	0.058823529411764705	anubix-funcoup
GSE36980	GSE97760	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.13043478260869565	anubix-funcoup
GSE37263	GSE39420	Alzheimer disease	Jaccard index	0.2358974358974359	anubix-funcoup
GSE37263	GSE39420	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.647887323943662	anubix-funcoup
GSE37263	GSE4757	Alzheimer disease	Jaccard index	0.21348314606741572	anubix-funcoup
GSE37263	GSE4757	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.5135135135135135	anubix-funcoup
GSE37263	GSE95587	Alzheimer disease	Jaccard index	0.20987654320987653	anubix-funcoup
GSE37263	GSE95587	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.4788732394366197	anubix-funcoup
GSE37263	GSE97760	Alzheimer disease	Jaccard index	0.16049382716049382	anubix-funcoup
GSE37263	GSE97760	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.5652173913043478	anubix-funcoup
GSE39420	GSE4757	Alzheimer disease	Jaccard index	0.06153846153846154	anubix-funcoup
GSE39420	GSE4757	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.32432432432432434	anubix-funcoup
GSE39420	GSE95587	Alzheimer disease	Jaccard index	0.3053097345132743	anubix-funcoup
GSE39420	GSE95587	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.552	anubix-funcoup
GSE39420	GSE97760	Alzheimer disease	Jaccard index	0.015789473684210527	anubix-funcoup
GSE39420	GSE97760	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.13043478260869565	anubix-funcoup
GSE4757	GSE95587	Alzheimer disease	Jaccard index	0.04516129032258064	anubix-funcoup
GSE4757	GSE95587	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.1891891891891892	anubix-funcoup
GSE4757	GSE97760	Alzheimer disease	Jaccard index	0.17647058823529413	anubix-funcoup
GSE4757	GSE97760	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.391304347826087	anubix-funcoup
GSE95587	GSE97760	Alzheimer disease	Jaccard index	0.006802721088435374	anubix-funcoup
GSE95587	GSE97760	Alzheimer disease	Szymkiewicz–Simpson coefficient	0.043478260869565216	anubix-funcoup
GSE18842	GSE19188	Non-small cell lung cancer	Jaccard index	0.6721311475409836	anubix-funcoup
GSE18842	GSE19188	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.82	anubix-funcoup
GSE18842	GSE19804	Non-small cell lung cancer	Jaccard index	0.052941176470588235	anubix-funcoup
GSE18842	GSE19804	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.17307692307692307	anubix-funcoup
GSE18842	GSE20189	Non-small cell lung cancer	Jaccard index	0.13402061855670103	anubix-funcoup
GSE18842	GSE20189	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.25	anubix-funcoup
GSE18842	GSE21933	Non-small cell lung cancer	Jaccard index	0.6451612903225806	anubix-funcoup
GSE18842	GSE21933	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.8	anubix-funcoup
GSE18842	GSE27262	Non-small cell lung cancer	Jaccard index	0.12857142857142856	anubix-funcoup
GSE18842	GSE27262	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.5192307692307693	anubix-funcoup
GSE18842	GSE52248	Non-small cell lung cancer	Jaccard index	0.17061611374407584	anubix-funcoup
GSE18842	GSE52248	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.6923076923076923	anubix-funcoup
GSE19188	GSE19804	Non-small cell lung cancer	Jaccard index	0.09937888198757763	anubix-funcoup
GSE19188	GSE19804	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.32	anubix-funcoup
GSE19188	GSE20189	Non-small cell lung cancer	Jaccard index	0.1368421052631579	anubix-funcoup
GSE19188	GSE20189	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.26	anubix-funcoup
GSE19188	GSE21933	Non-small cell lung cancer	Jaccard index	0.6129032258064516	anubix-funcoup
GSE19188	GSE21933	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.76	anubix-funcoup
GSE19188	GSE27262	Non-small cell lung cancer	Jaccard index	0.12980769230769232	anubix-funcoup
GSE19188	GSE27262	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.54	anubix-funcoup
GSE19188	GSE52248	Non-small cell lung cancer	Jaccard index	0.1722488038277512	anubix-funcoup
GSE19188	GSE52248	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.72	anubix-funcoup
GSE19804	GSE20189	Non-small cell lung cancer	Jaccard index	0.2012987012987013	anubix-funcoup
GSE19804	GSE20189	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.5344827586206896	anubix-funcoup
GSE19804	GSE21933	Non-small cell lung cancer	Jaccard index	0.08588957055214724	anubix-funcoup
GSE19804	GSE21933	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.28	anubix-funcoup
GSE19804	GSE27262	Non-small cell lung cancer	Jaccard index	0.4786729857819905	anubix-funcoup
GSE19804	GSE27262	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.7952755905511811	anubix-funcoup
GSE19804	GSE52248	Non-small cell lung cancer	Jaccard index	0.4636363636363636	anubix-funcoup
GSE19804	GSE52248	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.8031496062992126	anubix-funcoup
GSE20189	GSE21933	Non-small cell lung cancer	Jaccard index	0.22727272727272727	anubix-funcoup
GSE20189	GSE21933	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.4	anubix-funcoup
GSE20189	GSE27262	Non-small cell lung cancer	Jaccard index	0.13023255813953488	anubix-funcoup
GSE20189	GSE27262	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.4827586206896552	anubix-funcoup
GSE20189	GSE52248	Non-small cell lung cancer	Jaccard index	0.1822429906542056	anubix-funcoup
GSE20189	GSE52248	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.6724137931034483	anubix-funcoup
GSE21933	GSE27262	Non-small cell lung cancer	Jaccard index	0.12440191387559808	anubix-funcoup
GSE21933	GSE27262	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.52	anubix-funcoup
GSE21933	GSE52248	Non-small cell lung cancer	Jaccard index	0.1778846153846154	anubix-funcoup
GSE21933	GSE52248	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.74	anubix-funcoup
GSE27262	GSE52248	Non-small cell lung cancer	Jaccard index	0.6964285714285714	anubix-funcoup
GSE27262	GSE52248	Non-small cell lung cancer	Szymkiewicz–Simpson coefficient	0.8432432432432433	anubix-funcoup
GSE12643	GSE13760	Type II diabetes mellitus	Jaccard index	0.047619047619047616	anubix-funcoup
GSE12643	GSE13760	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.125	anubix-funcoup
GSE12643	GSE15653	Type II diabetes mellitus	Jaccard index	0.03296703296703297	anubix-funcoup
GSE12643	GSE15653	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.21428571428571427	anubix-funcoup
GSE12643	GSE20966	Type II diabetes mellitus	Jaccard index	0.011363636363636364	anubix-funcoup
GSE12643	GSE20966	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.07142857142857142	anubix-funcoup
GSE12643	GSE21340	Type II diabetes mellitus	Jaccard index	0.020942408376963352	anubix-funcoup
GSE12643	GSE21340	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.2857142857142857	anubix-funcoup
GSE12643	GSE38642	Type II diabetes mellitus	Jaccard index	0	anubix-funcoup
GSE12643	GSE38642	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE12643	GSE40234	Type II diabetes mellitus	Jaccard index	0.01875	anubix-funcoup
GSE12643	GSE40234	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.21428571428571427	anubix-funcoup
GSE13760	GSE15653	Type II diabetes mellitus	Jaccard index	0.011494252873563218	anubix-funcoup
GSE13760	GSE15653	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.125	anubix-funcoup
GSE13760	GSE20966	Type II diabetes mellitus	Jaccard index	0	anubix-funcoup
GSE13760	GSE20966	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE13760	GSE21340	Type II diabetes mellitus	Jaccard index	0.016129032258064516	anubix-funcoup
GSE13760	GSE21340	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.375	anubix-funcoup
GSE13760	GSE38642	Type II diabetes mellitus	Jaccard index	0.125	anubix-funcoup
GSE13760	GSE38642	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.25	anubix-funcoup
GSE13760	GSE40234	Type II diabetes mellitus	Jaccard index	0.01948051948051948	anubix-funcoup
GSE13760	GSE40234	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.375	anubix-funcoup
GSE15653	GSE20966	Type II diabetes mellitus	Jaccard index	0.47619047619047616	anubix-funcoup
GSE15653	GSE20966	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.6666666666666666	anubix-funcoup
GSE15653	GSE21340	Type II diabetes mellitus	Jaccard index	0.044	anubix-funcoup
GSE15653	GSE21340	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.1375	anubix-funcoup
GSE15653	GSE38642	Type II diabetes mellitus	Jaccard index	0	anubix-funcoup
GSE15653	GSE38642	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0	anubix-funcoup
GSE15653	GSE40234	Type II diabetes mellitus	Jaccard index	0.06018518518518518	anubix-funcoup
GSE15653	GSE40234	Type II diabetes mellitus	Szymkiewicz–Simpson coefficient	0.1625	anubix-funcoup
